,Gene_name,C2_266,A3_154,T3_41,T3_46,C1_214,C3_111,T2_178,A1_51,C2_257,T1_141,A1_71,C2_258,T3_48,T3_33,A3_156,A2_19,T3_39,C2_247,T3_34,T3_32,T2_179,T2_180,T2_197,T1_134,C3_119,C2_262,A1_77,T3_42,A2_4,C3_110,T1_123,C3_87,C3_99,C3_104,T1_139,C2_249,T1_130,A3_157,A1_52,T2_187,C3_108,C2_243,C2_256,T2_193,T2_186,A2_13,C3_102,C3_84,C3_120,C1_210,T2_198,C3_116,T1_138,C2_241,A2_30,C3_112,T1_133,A1_74,A3_169,A3_166,C3_103,C2_251,T2_185,T1_124,C1_216,C1_236,A1_70,T1_127,C3_85,T1_131,A1_60,A3_155,C3_113,C1_208,A1_53,A2_21,C3_101,C3_86,T2_188,A1_66,C2_265,A2_29,T2_189,C2_239,T1_144,A3_176,C3_88,A1_54,T2_192,A3_149,C1_222,T1_145,A1_73,C3_107,A2_18,A2_25,A3_167,C2_261,A1_78,A3_153,A2_8,C1_205,C2_255,C1_234,C1_209,A1_59,A1_76,C1_231,A2_22,A2_6,C1_226,C2_238,C3_105,C1_218,A1_75,C1_206,A1_68,C3_117,T1_126,C1_201,T2_196,T2_194,A3_174,C1_229,A3_162,C1_224,C2_252,C1_203,A2_2,A1_55,A2_10,A1_67,C3_92,C1_207,A1_80,C2_240,C3_82,C1_228,A2_23,A2_12,T1_128,A2_26,T2_191,A1_69,C3_91,T1_143,A1_62,C1_230,C3_95,A1_61,C1_232,C2_254,T1_132,A3_158,C2_264,A3_151,A3_173,C2_268,C2_260,C1_202,T1_140,A3_175,A2_9,C2_242,T1_146,A1_56,A2_14,T1_136,T2_190,C1_211,C3_97,A1_58,A3_160,A2_24,A3_168,A3_150,C3_100,C3_118,A3_159,A2_5,C2_270,T2_199,T3_47,A1_63,A1_64,C1_235,A3_163,T2_183,C3_89,T3_31,C2_246,C3_122,T3_45,C2_263,C1_212,C3_96,A3_165,A3_161,A2_17,T1_137,A2_20,A2_3,C3_98,C3_90,T2_181,C1_220,C2_259,A2_7,C3_81,T3_44,T3_35,T3_43,A2_1,T3_36,A3_170,C1_227,T1_135,T2_184,C1_215,C1_219,C2_245,T2_200,C1_223,C2_248,C2_272,T2_182,C1_221,A1_57,C3_83,A2_15,A2_11,T1_142,A1_72,A3_171,T3_50,C2_271,T2_177,C2_269,C1_204,A2_16,T3_38,A3_164,C1_225,A3_147,A1_65,T3_40,C2_244,C3_93,C2_250,T3_37,C1_233,C3_94,A3_148,C3_121,C2_267,C3_109,C2_237,A2_28,T3_49,A2_27,A3_172,C3_106,C3_115,C1_217,C3_114,T2_195,A1_79,T1_129,C2_253,T1_125,A3_152,C1_213
393,C4BPA,980.274,2937.4,NA,NA,1285.89,676.559,12870.3,3038.28,2651.26,4876.33,3936.94,1286.86,NA,NA,6190,2152.59,NA,1158.1,NA,704.052,12194.2,28305.9,10258.7,3748.65,1576.3,1466.46,4035.35,NA,1839.39,1698.94,6681.86,2196.18,1578.96,1920.93,NA,2190.21,5015.57,2206.97,2217.73,31672,1244.21,1179.34,1046.51,16966.5,54057.3,1908.54,2251.69,1872.9,1108.14,1329.95,4230.13,1218.93,2111.46,3810.3,907.17,1024.73,3159.86,6863.74,1419.92,2462.64,NA,1448.45,1825.6,1114.24,2593.91,1646.94,4668.1,1336.32,2521.08,1113.43,1263.51,NA,10958.4,1550.16,753.066,4367.56,1273.33,2102.34,3358.52,4186.01,6723.35,1815.64,2835.3,2352.35,1730.13,1536.63,2206.58,3617.41,2125.87,2675.05,960.081,2793.21,28850.6,NA,975.579,1002.05,5245.53,NA,953.403,3057.06,6138.53,3576.45,1396.29,2129.26,2560.28,2326.49,1012.74,1856.28,20433.2,3831.47,2048.47,1535.76,11897.4,1050.72,3886.55,2558.28,1519.04,2723.35,16062.9,3580.75,812.279,6304.39,3681.69,1678.89,1314.38,1098.11,1169.26,1060.59,4104.42,3483.02,2280.7,1798.76,1841.23,856.296,707.459,2361.8,5659.25,730.104,1933.59,2304.83,2094.05,3653.67,2176.36,979.308,3205.91,1221.34,3155.95,2129.7,3876.01,1423.2,14775.2,10567.3,3847.29,1305.62,2735.15,1152.2,1992.75,1216.27,1936.45,4797.49,2549.16,5395.65,1118.17,1145.98,4503.84,1818.01,1448.5,1767.68,2296.3,2893.81,2296.82,2532.16,13849.9,7767.28,2390.96,8969.78,1372.61,1515.6,1690.56,2293.63,1649.12,10029.3,NA,4102.23,5222.26,1851.14,NA,29543.3,659.806,NA,1373.51,650.653,NA,1719.19,1287.37,1005.44,NA,2420.82,2202.32,7040.07,1605.69,3295.85,1373.53,NA,18575.5,1294.23,899.96,3234.33,1767.71,NA,NA,NA,2008.04,2531.69,2093.94,2549.48,2605.96,16950.1,1085.03,1211.11,2367.87,20925.6,1787.55,2878.28,3358.99,205315,1543.62,2799.57,1253.54,2272.45,3198.34,2642.9,3552.02,2953.9,1337.19,762.279,18205.8,1250.14,1295.85,1865.57,NA,2421.86,1347.28,11745.4,3458.34,NA,1755.44,2065.49,707.944,NA,1456.46,2446.66,3218.35,1872.62,1531.91,1128.78,1160.9,2754.8,1670.52,2923.81,4852.96,NA,1251.53,3407.59,1635.79,16432.2,4317.69,5915.27,1275.61,6245.71,3061.9,864.829
394,VTN,4721.76,2961.95,NA,1240.52,3818.76,8853.64,19399.1,5194.73,4225.03,749.599,6146.18,4473.58,2079.2,1602.65,4495.85,7192.56,1092.95,6047.16,1813.2,3599.32,21398.2,32746.1,35837.8,4936.83,6751.17,5419.41,4444.11,NA,5460.93,5410.24,6467.93,9076.27,6138.62,7927.68,NA,7971.53,5962.15,1497.31,3171,39161,5862.7,4957.47,4351.28,5793.31,49440.2,10000.9,8363.04,7999.7,9266.66,3344.02,5491.18,3815.94,3452.06,6311.56,3091.59,3195.97,3105.59,10419.2,5005.62,3612.27,5873.65,4477.81,6597.58,3459.85,NA,2538.05,8152.72,3635.59,2282.26,2257.88,10078.5,NA,17817.6,4718.87,5435.53,4125.17,3749.77,7037.35,NA,10782.7,4233.96,5540.77,4399.67,5219.3,8636.04,7044.96,5319.14,8876.91,1400.54,2124.05,5667.9,8499.69,62643.1,3990.62,3420.75,4303.53,6651.62,8730.72,4380.9,8158.82,9461.02,2935.63,6931.92,6235.3,5441.21,6895.33,6227.87,8235.84,27335.2,7060.8,6414.11,7515.49,24412,5731.98,3058.91,6565.7,6691.68,4352.12,39425.3,1627.82,3392.21,13849.8,7632.3,4956.19,4768.6,13994.4,NA,5881.68,6005.53,6495.53,13138.3,3788.61,4578.06,2875.94,2324.59,4224.38,6370.19,3119.48,6936.62,7438.45,2808.59,6184.61,5745.59,3089.38,5183.16,3084.1,5296.06,6244.48,NA,2888.63,15470.1,10528,7333.53,3379.28,2574,2054.9,6551.25,3857.1,8084.31,7932.81,9918.6,8391.63,4808.8,3449.94,7586.39,4706.15,6083.89,3866.61,8053.63,9847.67,5717.36,7401.82,37299.1,6768.2,6126.31,8447.62,4975.95,6355.28,4555.29,9155.29,4352.03,6518.49,NA,8026.44,7199.9,4303.1,2538.48,70875.4,4540.34,5865.8,4431.25,7152.62,NA,5438.03,3408.13,4703.51,NA,1868.5,11008.1,5855.81,7007.59,9268.86,5645.52,9524.52,30513.1,3722.62,3939.34,8441.19,6420.68,2408.01,2153.34,1891.07,8248.59,9854.42,1077.73,5073.3,6309.27,38280.3,4913.64,4042.45,6257.56,12681.5,3705.87,6602.77,5014,94421.3,4468.67,5491.42,9789.39,7947.21,9147.16,4855.31,8163.03,1787.27,4185.64,4367.74,37512.7,5844.85,2347.85,7005.61,3416.03,7581.9,3303.12,NA,6128.38,1744.33,4550.28,6143.34,6396.96,3575.78,2680.44,6453.98,2859.43,6599.63,3640.68,4672.33,2854.48,7783.38,4956.56,6536.48,NA,17763.2,4132.73,4663.85,6912.9,14467.8,6326.29,1683.99,4579.03,NA,898.496,3374.83
395,CAT,7606.42,15167.1,13451.4,12080.3,5177.93,14221.8,84998.6,10560.3,8787.06,19095.8,16482.5,6176.99,17697.2,21731.9,24829.2,26328.8,17650.4,7853.52,14407.9,14030.3,88259.2,57992,70074.8,6074.2,23151.1,9148.82,20919.6,7793.64,22582.9,17612.8,50916.3,20547.3,17677.8,17536.3,88166.6,12252.4,30621.6,14419.3,6731.72,79794.3,15252.6,7952.61,7265.21,65953.1,76552.3,26384.2,16164.1,16505.8,20671.8,6879.52,10978.1,5933.72,16287.6,13065.2,5659.53,8151.34,36058,22307.5,8385.89,7658.9,11658.8,10282.8,10213.9,5146.39,34698.8,7287.97,36576.9,6871.01,21588.8,10299.5,21250.1,11261,104362,7553.51,10249,11348.6,12644.2,32471.6,10966.8,19789.3,39107.5,26063,30472.2,17863.4,24279.4,16273.6,35092.1,42661.8,10697.1,18972.8,18643.6,15052.5,53870.5,43833.7,6230.62,7302.45,29343.4,30320,12657.1,33435.5,12864.7,17598.3,20357.4,15441.2,5794.39,21045.5,13007.9,18274,88688,20769.9,10524.7,26177.1,125001,7834.78,24289.9,12399.7,12854.2,20789.2,45179.4,16170.3,2627.96,22746.2,19903.9,13403.7,9478.54,11847.8,11840.6,8356.33,31794.7,13244.2,40010.3,9918.32,11665.1,9566.5,3137.15,24928.2,18400.3,4394.47,26595.3,29779.5,8431.29,17930.9,15768.2,5279.6,23651.3,8399.12,15778,15093.7,34630.2,4116.5,62582.6,48977,8834.69,6624.36,10163.9,5907.44,16172.4,7495.57,34070.5,19652.8,27657.5,38117,16205.6,4897.35,27351.5,6534.91,12964.5,9304.66,30081.8,20360.6,32237.4,26423.7,83150.1,19903,15635.3,67214.1,14294.3,13940.8,14228.8,44715.4,7166.58,61547.4,16694.9,15803.1,19618.1,8266.9,19507,77639.7,9786.92,12414.1,8537.37,16290,13113,12995.2,6874.01,13860.1,13161.9,12152.4,27381.4,22858,26494.8,37040.5,9851.93,8106,110363,5791.25,6058.86,27258.5,34108.5,15252.7,16633.1,12783.7,14842.1,14855.3,7266.67,13301.4,33590.8,66380.4,5867.34,5535.67,14242.9,58523,8597.82,15458.5,14334.5,72817.9,9075.8,7564.22,9953,35090.1,25983,22244.3,15686.8,18895.4,10759.6,7980.87,97992.6,12211,3768.78,26723.3,12141.2,15238.4,4937.79,29936.4,22548.3,26427.7,9673.22,23845.9,11332,15313.6,25874.2,19647.6,19326.3,17237.8,8912.32,14620.7,5798.03,34520.9,4266.62,27708.6,10583.6,12597.6,15982.2,15547.4,12120.3,86900.8,31259.7,26533,7872.78,30214.4,8259.26,4978.38
396,FUCA1,NA,NA,NA,NA,NA,NA,NA,NA,367.957,NA,NA,348.068,NA,NA,NA,453.683,NA,NA,NA,NA,NA,NA,NA,NA,538.03,320.626,849.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2631.56,NA,NA,NA,NA,1294.36,NA,209.528,NA,NA,245.678,821.701,NA,NA,NA,NA,293.117,NA,NA,NA,NA,NA,463.644,NA,NA,NA,NA,1547.93,NA,NA,692.853,NA,NA,NA,NA,NA,NA,NA,671.805,NA,NA,NA,600.828,NA,733.567,428.173,NA,NA,1561.21,NA,NA,NA,318.156,NA,NA,316.049,NA,860.695,NA,534.722,NA,NA,NA,NA,575.53,NA,NA,NA,NA,NA,NA,928.038,NA,NA,295.649,NA,NA,NA,2420.88,4534.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238.83,NA,NA,588.393,399.742,289.712,NA,NA,510.226,NA,NA,NA,NA,856.525,NA,NA,750.4,NA,442.842,206.178,NA,529.555,NA,1110.43,NA,NA,NA,NA,375.626,372.48,NA,1663.17,605.672,1760.44,1021.28,NA,947.419,NA,413.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1661.72,NA,NA,NA,NA,NA,NA,2709.29,1485.54,NA,1294.26,254.782,NA,NA,464.71,328.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196.14,NA,NA,NA,4277.92,NA,NA,NA,337.156,NA,NA,NA,NA,NA,NA,NA,206.326,NA,NA,336.102,NA,2485.48,427.695,NA,NA,NA,908.181,NA,711.34,NA,NA,276.608,NA,NA,NA,NA,NA,NA,318.263,NA,NA,NA,NA,NA,NA,NA,630.744,NA,NA,NA,247.348,NA,360.19,693.216,1009.88,NA,NA,NA,NA,NA,NA,1554.15,1675.76,NA,200.552,NA,NA,NA
397,ALDOA,314594,137791,129113,201991,78226.5,165855,82588.7,78206.3,194954,171863,296810,161255,317162,269864,98173.6,167409,254549,180038,318524,224779,51180.7,114656,69468.1,36377.5,380175,268278,249289,141237,88996.6,183244,106816,323885,269582,206056,157650,386688,275847,118009,249451,53142,260972,283770,350792,58699.5,45859.7,117393,229895,162079,290067,120700,206283,161641,181453,254121,161612,417658,279312,100660,215743,108453,128926,286790,258139,46011.5,147038,123707,202670,147946,246260,190100,130529,295214,57573.1,115886,113130,128066,157023,202819,108917,133749,74074.2,392078,134568,319549,171336,252382,268043,287625,121398,113126,213439,422247,71328.5,181005,213867,241308,403317,187272,138107,223214,153609,106106,313231,93465.7,64469.7,157166,211450,252223,61588.1,293367,520088,148441,87842.7,147528,207229,107630,176685,191916,39418.7,58035.2,49343.4,174716,328967,224836,71941.3,89992.4,94845.5,201689,393298,101197,159882,197536,485108,116609,104637,168999,332572,123494,137851,129407,141683,602397,182078,143833,276881,71846,244668,198864,164073,72768.7,57280.5,59584,110766,216718,112176,269562,374441,132743,153919,145178,148812,322296,170682,67143.8,336733,185687,77137.1,188699,166487,92702.4,166276,156554,72277.9,314186,262964,130245,210464,147772,109167,182987,198966,74007.1,266167,225630,190194,239552,112364,49794.6,76538.5,254833,191561,256275,211921,345180,173577,227580,72170.2,113253,104163,219312,154629,162544,104749,94418.9,59122.6,121759,210455,136854,108731,194792,311618,296654,90201.2,102408,102394,324329,281713,55889.5,100759,208108,335620,49187.9,118716,415873,390858,44950,160392,109023,129137,193756,152611,213938,202553,109050,202803,341976,138897,309591,62653.7,141336,267906,107044,113269,179118,311576,249535,293349,388821,328261,248643,98352.4,270662,106625,362809,305155,201886,111850,201503,36557.3,153286,84607.3,191889,289686,169847,159544,69448.3,388430,167422,300692,168069,94083.4,62746.2
398,CSTB,10781.7,4751.67,5788.99,7842.94,2415.52,6563.82,4641.82,4013.37,9279.98,3279.8,15419.4,9266.29,17136.2,11564.7,2867.11,17289,9686.4,11044.5,17469.5,19505,7507.27,7576.7,1955.87,NA,14247.2,13586.9,18709.1,6239.21,9459.03,5539.58,4031.17,18279.2,7838.75,8713.76,5237.08,20441.2,6579.51,8678.07,5398.35,3180.52,7819.88,11242.6,14106.5,4289.85,3839.39,8892.15,8656.41,5844.46,8542.98,2918.07,6987.44,5561.1,8419.04,13943.1,5849.23,19279.7,14252.3,6197.59,8532.84,5443.6,NA,11669,12139.9,1882.88,NA,7516.66,24607,6576.74,4378.56,3783.74,15120.5,NA,5364.11,7267.76,3439.19,6004.95,11848.8,17403.9,3470.69,4842.67,NA,11509.1,NA,12945.4,9070.28,8700.78,10065.2,16775.5,5050.45,6618.26,10432.1,21365.2,3600.96,NA,4825.61,5567.08,40525.2,7057.35,7891.63,9810.65,6187.34,9990.75,14711.5,2775.56,3061.53,14884.1,10224.3,15070.6,7478.4,19564.2,15381.9,9845.26,8657.9,8776.77,NA,3850.91,9623.79,8346.38,5644.69,NA,2238.53,2572.01,25130.6,10053.2,4886.62,6812.92,3840.22,12990.6,48686.7,3265.98,16840.8,8123.23,22140.9,5809.75,1164.85,8312.95,22586.2,6039.68,8805.25,8958.02,4030.6,14313.7,6256.01,4752.23,19417.1,3033.22,21221.3,9807.99,5274.62,2380.23,4080.58,4138.9,NA,9054.58,3799.65,4945.05,21257.1,4396.73,15281.5,7947.64,13640.2,44059.1,7515.9,3157.44,22328.5,7455.69,3349.14,7307.48,16524.3,7110.9,6900.81,7106.54,7791.12,20310.8,8743.19,NA,9693.13,7073.17,8191.61,15958.1,11089.2,NA,15236.5,9752.26,7594.51,9084.32,6524.36,7997.02,4565.89,15876.2,11824.5,11044.4,8773.52,25910.6,4308.83,12154.9,NA,4352.75,11607.8,7331.73,15391.3,15665.3,4394.01,14258.5,7867.5,5552.25,9055.8,9388.63,16298,15908.4,17593.7,18445.5,6598.23,8681.81,4096.87,15612.5,23857.7,7681.39,7752.42,9655.24,18220.9,NA,5669.2,14634,9602.98,6164.21,10096.7,5349.11,13447.8,17923.8,15708.5,6027.12,21175.3,6980.44,6591.65,23484.9,NA,21698.1,1748.48,17702.6,18072.3,15112.5,4824.59,NA,37466.9,24240,18631.3,18777.8,18801.8,18021,6570.1,9485.19,8056.81,15335.2,17914.8,9104.59,6338.27,19663.9,2767.08,8307.5,3978.72,8660.21,7977.68,6780.88,5785.64,5054.84,25679.8,4609.59,14527.3,4805.41,4489.93,2592
399,ANXA1,2811.45,26351.3,10789.1,14711.8,1060.95,2518.05,18236.5,4445.11,3578.83,10424.2,8177.34,3137.82,17897.2,30040.3,23220.4,31432.2,19743.9,2867.74,22144.1,21713.8,18403.6,34480.2,15891.7,1963.55,4382.49,2727.33,14623.9,14217.9,21427.3,3276.43,9651.13,4688.41,4622.43,3711.35,11729.8,4461.81,13579.2,19016.3,3321.52,14046.2,2853.17,4736.83,2871.77,15656.5,15199.3,25635.8,3610.18,2092.81,4674.87,984.939,4315.77,1068.55,2857.71,3694.43,906.73,3130.96,17299.2,29681.8,2296.01,19918,22637.8,3289.57,3059.16,774.376,13895.3,17913,34301.4,4609.53,11356.5,8953.77,21393.5,10217.4,20967,1710.5,1855.84,4982.79,22994.5,33122.4,23033.1,18588.6,10827.1,4404.97,14224.7,5315.81,29894.3,3389.77,15942.6,16388.1,20138.3,29883.9,2173.3,8294.38,17924.3,11518.3,1079.5,1401.76,10708.6,14083.2,2455.86,22502.3,4934.07,25297.6,4524.31,2621.62,3382.3,25729.9,2847.01,4602.58,17357.7,9140.29,4362.88,34669.9,19789,2354.26,8117.79,22109.2,2988.37,17446.8,13657.6,17121.2,614.023,13204.1,7004.18,3606.05,14569.8,11980.1,17394.2,2918.59,20680.6,28524.4,37333.6,1951.12,3763.82,8773.27,496.202,19864.1,9551.75,1032.86,30787.3,32486.8,4788.12,3493.1,2535.77,1224.51,15236.4,8585.95,9126.19,2722.87,10208,626.609,12722.1,13262.9,19195.6,1899.49,21961.7,1177.33,5267.9,929.543,36072.1,11170,28509.1,37057.9,4334.57,577.465,14055.2,2218.62,4586.08,1656.94,32273.5,23276.4,11371.4,25466.4,14618.5,8473.36,3456.47,17292.3,3722.61,2710.31,24817.4,26150.4,2061.9,19343.3,19635.3,8916.03,7174.13,2131.89,19732.7,24691.9,1465.9,26064.7,2504.32,2415.92,18298.9,3979.82,928.893,2724.4,16493.2,20699.4,26933.9,13832,25335.4,35922.2,2514.6,3994.02,21813.9,1633.5,2301.41,35703.1,33326.9,16214.9,20268.9,19460.4,22869.1,23781.5,20491.7,1918.12,16334.3,18468.8,1510.93,1369.45,4827.61,12671.3,1757.45,5078.94,4736.12,26443.6,1325.1,3538.76,10190.3,28348.7,34156.1,10538.5,8304.99,15620.9,11106.3,3325.92,21130.4,4760.33,714,28425.3,17281.8,22669.6,1376.76,23494.8,17388.9,21271.8,3802.78,8204.92,4776.29,21611.2,14309.3,3925.84,20035.6,3882.15,3711.68,2658.31,1825.03,31359.3,4514.09,28325.6,17899.1,4465.41,2570.17,6746.51,3772.68,17296,15262,14650.9,3004.27,11208.7,23760,1136.33
400,APOB,3686.44,5692.65,NA,6293.74,2108.26,2930.31,30382.8,4246.35,4405.13,11073,4729.81,3806.89,NA,5909.31,6543.49,5361.69,4186.85,3318.89,4140.83,5570.63,33141.6,22750.9,24132.3,5882.37,6305.18,4213.43,4496.83,NA,4417.35,4561.54,11117.9,6570.28,5571.24,5521.15,9488.32,7385.38,11224.5,4481.74,1983.28,63972.2,4694.08,4390.72,4197.88,23701.4,78953.6,6424.28,6056.2,6125.3,5060.51,2535.99,4477.13,2970.47,4814.91,3936.67,2529.8,3117.67,10530.3,12449.9,3905.37,4659.69,6839.25,4451.1,5337.4,2262,11652.5,5699.55,9075.15,2807.33,7762.09,2833.09,4605.88,NA,36228,3706.97,3022.74,5085.08,5716.85,6691.17,7846.57,6968.99,13724.4,7277.95,9623.66,7001.47,5299.26,5417.35,10424.1,7581.51,5074.1,6800.55,4144.59,8058.13,44097,8419.25,2776.98,3144.62,7257.97,7654.46,3400.79,12164.4,5493.79,7659.51,5272.68,4607.8,2640.07,4163.43,3937.02,7021.91,38522,8388.04,5609.26,6791.21,30654.2,3755.76,12390.3,5436.7,4891.92,3652.6,21068.6,5637.17,2040.77,9075.1,6032.4,4455.74,2372.68,3172.77,6061.08,3997.19,6621.71,7546.06,7317.77,4033.57,5211.45,2391.18,1091.06,5177.98,5764.28,2589.23,6458.52,7824.87,5408.44,8017.16,4739.59,3174.05,6128.12,1761.91,3787.57,4721.38,10618.9,1775.74,24125.6,17916.9,4552.13,4095.03,5590.04,2333.5,7536.37,2028.42,6860.85,6175.83,6733.21,6880.21,3178.01,2831.91,6082.93,4582.75,3551.61,4896.88,5122.06,5435.76,8859.36,5305.2,27699.9,7325.43,4822.6,15546,3791.16,3998.54,5785.21,6270.92,3183.28,23841.4,4696.06,5652.21,5006.21,3622.99,5186.91,32358.4,3301.22,4745.19,3155.42,4624.71,4279.01,5539.86,2227.92,3983.82,NA,6526.64,5191.23,13809.1,5161.99,7041.87,3006.17,NA,35910.6,2636.3,2905.37,6984.82,3513.87,3827.89,4068.8,4957.42,5477.3,9780.9,6850.55,5564.97,10142.3,27565,3170.93,3177.47,6307.21,23459.3,3865.73,7306.24,9092.75,83865.2,3601.47,3516.77,8448.38,6140.36,6394.62,9670.65,4316.26,NA,4185.69,3207.15,36355.6,5140.99,1825.44,5468.22,5052.49,3875.24,2369.82,NA,5366.61,6024.85,3858.86,6019.27,3663.72,4382.93,3928.65,5160.31,7364.77,5936,4715.52,4538.7,2400.44,5578.31,2586.84,4994.04,8770.95,NA,4570.04,5368.78,3875.36,29656.1,6505.49,8537.55,4101.75,10161.1,5246.62,1815.41
401,NR3C1,632.835,2120.87,NA,1994.9,611.131,NA,NA,NA,NA,NA,768.756,335.228,NA,2740.97,NA,1724.04,2061.5,451.178,948.293,NA,1593.09,2278.55,1044.8,940.152,779.947,541.076,871.161,NA,1745.09,NA,NA,594.772,NA,NA,NA,622.241,NA,1058.43,1230.98,NA,813.928,608.789,294.755,NA,2878.38,926.039,NA,NA,NA,NA,1019.8,601.484,NA,1155.13,448.499,462.624,NA,2181.84,NA,NA,NA,502.497,519.154,NA,NA,730.466,NA,496.363,NA,917.993,1548.74,NA,NA,525.573,NA,NA,1357.06,2006.2,997.546,NA,NA,NA,NA,NA,1835.12,433.223,NA,NA,NA,NA,NA,524.045,1607.37,NA,631.675,654.146,743.01,NA,534.403,NA,1520.5,1390.28,632.642,650.634,807.391,2151.6,682.705,638.585,NA,NA,672.55,1468.46,NA,342.751,NA,1601.53,547.496,966.532,1714.28,NA,413.902,NA,834.613,373.591,1444.7,1003.87,NA,714.347,1010.82,1018.01,NA,671.878,342.922,606.31,NA,1635.13,690.048,530.873,1728.84,918.711,NA,NA,NA,665.982,847.381,NA,1214.01,NA,NA,626.061,NA,1042.79,937.585,648.571,1217.32,568.168,573.401,279.508,1697.88,1065.09,1396.03,NA,865.764,NA,NA,NA,996.001,872.307,1463.63,1327.37,NA,1973.94,1560.79,572.038,667.133,NA,909.046,1063.97,1415.8,1138.39,515.678,NA,1885.98,NA,NA,400.755,NA,1811.64,NA,1282.97,733.915,1068.48,2875.13,759.05,503.604,705.179,NA,971.611,3510.85,NA,2155.52,1148.82,1309.01,NA,NA,NA,571.426,865.858,NA,3055.79,NA,1718.69,1867.93,2076.06,NA,1011.63,NA,2657.95,NA,774.192,415.238,1331.89,527.599,NA,NA,1672.46,659.628,NA,1698.3,1693.59,1049.47,2036.13,1081.55,667.238,NA,934.848,2710.65,823.424,NA,1794.64,1724.11,1563.03,474.803,NA,782.08,2743.09,609.229,989.826,804.218,1812.6,NA,368.785,NA,595.384,619.754,712.854,361.482,1267.99,2151.81,2097.88,1125.53,NA,NA,1068.24,1110.82,NA,1075.73,NA,506.426,NA,NA,418.696
402,PRNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.455,NA,151.686,NA,NA,NA,NA,NA,NA,228.457,NA,NA,NA,NA,NA,NA,175.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.826,NA,NA,NA,NA,NA,NA,NA,NA,516.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1752.06,161.944,NA,NA,406.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.309,NA,NA,NA,2572.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.269,NA,NA,NA,NA,510.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
