Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
PPIB,1.5165312252617529,12.603289480238232,5.980328321726114,7.504433566973355e-5,0.0769208029566223,1.8415478185217724,5.556365772875474e-7,Upregulated (π < 0.05),PPIB
APOC3,1.7619403121059332,9.172659079599542,5.926769267765903,1.1741973272343898e-4,0.0769208029566223,1.3808973393693602,1.1888262472947947e-7,Upregulated (π < 0.05),APOC3
ATP2A3,5.598112076971639,8.795397767900837,9.448233835275312,1.25586639308154e-4,0.0769208029566223,-0.14818305459927483,1.45026762571908e-22,Upregulated (π < 0.05),ATP2A3
NDUFA12,-1.8286568249745514,11.994197210790942,-5.60869022188904,1.3199622986979375e-4,0.0769208029566223,1.3475869844362025,8.05078741570653e-8,Downregulated (π < 0.05),
TMED9,2.3943423145096485,9.000541564664317,5.824741845362546,1.999650910706372e-4,0.09322372545713106,0.6622356796516611,1.390650776032108e-9,Upregulated (π < 0.05),TMED9
FHL3,-1.9133279586258087,16.621712374337847,-5.110529018346324,2.9010239094383675e-4,0.11270477888168058,0.6482619081443222,1.7049063004089557e-7,Downregulated (π < 0.05),FHL3
CALML3,3.250924351042336,9.672643966116603,5.713205447386317,5.523370884727053e-4,0.1813677692112948,-0.45531337256069015,2.5653836564248373e-11,Upregulated (π < 0.05),CALML3
HARS2,-1.2077907903843759,10.022935265005037,-4.636400887355494,6.339556313858813e-4,0.1813677692112948,-0.05603584622671942,1.372638411063287e-4,Downregulated (π < 0.05),
ACTN3,-2.4657897617791846,15.021617545215534,-4.451542076431726,8.669918038980776e-4,0.1813677692112948,-0.3403402431295648,2.817012125073963e-8,Downregulated (π < 0.05),
TIMM8B,-1.384306244341472,11.890522070247394,-4.393929184522331,9.567136883970025e-4,0.1813677692112948,-0.4299973009446134,6.614205021031842e-5,Downregulated (π < 0.05),
IGKV2D-24,-2.491881030830534,10.554170302547954,-4.899021591575564,9.851533949330569e-4,0.1813677692112948,-0.4207356981019643,3.222324662402376e-8,Downregulated (π < 0.05),IGKV2D-24
ACTC1,-3.2074770537514468,14.16204204200246,-4.334862979132894,0.0010588102220135081,0.1813677692112948,-0.5224177139141695,2.865315219448783e-10,Downregulated (π < 0.05),ACTC1
GMPPB,3.175898541228211,9.365642776203025,5.138760719090307,0.0010610471902044432,0.1813677692112948,-0.8559666464512699,3.5812543871296005e-10,Upregulated (π < 0.05),GMPPB
PRKAG3,-1.3956220152730285,10.263606621869123,-4.375135619674436,0.0012223625940195808,0.1813677692112948,-0.6276419280094006,8.60661281200073e-5,Downregulated (π < 0.05),
TJP1,-2.2053241151739824,7.821320687969683,-4.515719981975452,0.0012527078372323018,0.1813677692112948,-0.6471622232382783,3.979405225609477e-7,Downregulated (π < 0.05),
FEZ2,-1.1006988360391095,10.47366688430509,-4.212689546419138,0.0013076784114155102,0.1813677692112948,-0.7151441797097196,6.700943503122298e-4,Downregulated (π < 0.05),
SND1,2.9063058594109155,8.706014274589934,4.87873292647174,0.0014472711850995522,0.1813677692112948,-1.0560704945754162,5.5935764972385205e-09,Upregulated (π < 0.05),
SYNPO,-1.2730931961804508,13.379451088610274,-4.150967287816101,0.0014558539197016746,0.1813677692112948,-0.8132827451097535,2.4455951977055433e-4,Downregulated (π < 0.05),
PDLIM7,-2.1367622290844217,14.421282313500846,-4.142178729681145,0.001478330165171429,0.1813677692112948,-0.827297445726674,8.963435766353485e-7,Downregulated (π < 0.05),
SYNM,-1.8272666782235678,14.927449765699293,-4.094679912304258,0.0016061993613160459,0.18720253556138514,-0.9032141474804511,7.838815463232511e-6,Downregulated (π < 0.05),
OGN,1.411814530658745,13.306597877283039,4.061698487592438,0.0017016970961363888,0.18801611437843627,-0.9560962845261809,1.2317408204947562e-4,Upregulated (π < 0.05),
VDAC1,-1.4579068380534626,14.226626743826323,-4.021154503340668,0.0018272147715690903,0.18801611437843627,-1.021288613068223,1.0184608287753471e-4,Downregulated (π < 0.05),
STOM,1.903538483435689,8.838892165721948,4.434406256969583,0.0018551568557288866,0.18801611437843627,-0.9502726474510714,6.3133144041496905e-6,Upregulated (π < 0.05),
LMOD1,-1.083577243583882,10.143062754748595,-3.9858486800550907,0.0019443226480564326,0.188842337192481,-1.078220049678647,0.0011539076849036336,Downregulated (π < 0.05),
DHCR24,-2.0008596182418916,12.311553430672157,-4.131494125999209,0.002248763254919375,0.2052024500814299,-1.2007472207973304,5.030500019152304e-6,Downregulated (π < 0.05),
RASA4,-2.2752352206958486,8.227000849900096,-4.1201020501413845,0.002288830417038686,0.2052024500814299,-1.215072909751786,9.828786548502614e-7,Downregulated (π < 0.05),
EIF3A,-1.0190676737892712,11.15139407768638,-3.864342707376102,0.0024102372244734845,0.20808381371287749,-1.2752479399078727,0.0021485316696009528,Downregulated (π < 0.05),
FHOD1,-1.294425187176822,12.034189224326472,-3.787485205603011,0.0027631788917599725,0.21824459787337172,-1.4006983937625934,4.876355611255552e-4,Downregulated (π < 0.05),
VDAC2,-1.406667454885424,14.529731029351469,-3.776097891132364,0.0028198340401059353,0.21824459787337172,-1.4193360082608528,2.5900756500493103e-4,Downregulated (π < 0.05),
VTA1,2.878829903733493,6.949319659752957,4.620004770643771,0.002882286150694564,0.21824459787337172,-1.5283239499136716,4.8642421383575977e-8,Upregulated (π < 0.05),
