"","Genes","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","signifficant","names"
"1383","CALML3",0.496479168947305,9.25951328181249,0.934233417668485,0.372867320638657,0.660450367759891,-5.64992493116886,0.612753281662672,"not signifficant",""
"1384","NDUFAF4",-0.310301907840525,10.0347571771101,-0.938960347974233,0.373099767825014,0.660450367759891,-5.64321824245188,0.736438481820215,"not signifficant",""
"1385","IGHA2",0.315966354989975,10.6087315227756,0.933219470307332,0.373364820344716,0.660450367759891,-5.65083050663972,0.732501550594442,"not signifficant",""
"1386","MYOT",-0.256861073831626,16.6421746207473,-0.93299755156041,0.373473769773647,0.660450367759891,-5.65102859810017,0.776479995303155,"not signifficant",""
"1387","RPA3",0.226873733426578,11.6314239261864,0.93169284425047,0.374114768358015,0.661106919427178,-5.6521924324718,0.800066371993609,"not signifficant",""
"1388","ENO1",0.210468286677143,16.0233220252401,0.93106994955059,0.37442107296081,0.661171505639009,-5.65274759668098,0.8132159158391,"not signifficant",""
"1389","COL4A2",-0.334837300802205,10.9927686897937,-0.93026039396587,0.374819435791818,0.661286861528436,-5.65346866638359,0.719945701686766,"not signifficant",""
"1390","STX12",1.05308892670943,8.72292025866701,0.941572871529672,0.375026004701969,0.661286861528436,-5.53840463331411,0.355998984557246,"not signifficant",""
"1391","CLPP",-0.28220324346098,9.32609909221254,-0.929148867318309,0.375366886474403,0.661412105498751,-5.65445785590314,0.758420548414194,"not signifficant",""
"1392","IQGAP1",0.400198382298248,9.96137349211153,0.928115260237449,0.375876474266979,0.661511088218008,-5.65537682365861,0.675979855991553,"not signifficant",""
"1393","PFDN6",0.265197830010859,12.2264998573568,0.927940161721996,0.375962850219374,0.661511088218008,-5.65553241779857,0.771488325054435,"not signifficant",""
"1394","ISOC1",0.241822323664449,10.9938003345417,0.926458497059956,0.376694323455762,0.662322659103352,-5.65684806528932,0.789704645930976,"not signifficant",""
"1395","YARS2",-0.297940230072099,8.69087893929339,-0.930254670653968,0.377343554059455,0.662988567024891,-5.65100504190015,0.747985028496579,"not signifficant",""
"1396","HECTD1",-0.200403589641711,10.9810953023799,-0.922429232946975,0.378688654152814,0.664875280321309,-5.66041704572608,0.823163789471018,"not signifficant",""
"1397","RPL27A",-0.307022370713057,10.623693402014,-0.920881476317735,0.379456736232225,0.665746929495479,-5.6617845630793,0.74266575988482,"not signifficant",""
"1398","ALDH3A2",-0.274250432707303,13.0669965375346,-0.919328540264952,0.380228505542962,0.666424317435531,-5.66315474003663,0.767055997096419,"not signifficant",""
"1399","RPL37A",-0.360035310323092,9.01050770360267,-0.929780803491889,0.380727767862129,0.666424317435531,-5.54882452540005,0.706328012327262,"not signifficant",""
"1400","CTBP1",0.218348464767539,9.85859266207405,0.918096094600533,0.380841795662038,0.666424317435531,-5.66424077629216,0.809946304044542,"not signifficant",""
"1401","ADD3",0.452320198196222,10.3016456298231,0.922951954181734,0.380930423797299,0.666424317435531,-5.55781719402791,0.646261115346385,"not signifficant",""
"1402","EGFLAM",-0.462588022562935,8.51769831082497,-0.9154489323847,0.382161459954859,0.668101097253466,-5.66656937084795,0.640844134571586,"not signifficant",""
"1403","SIRT2",0.260858467874067,11.1534646321986,0.914261321885134,0.382754564458379,0.668661038836413,-5.66761224252982,0.778397171150262,"not signifficant",""
"1404","CLINT1",0.218347744822342,10.5130959393823,0.911690954889511,0.384040472123214,0.670429627616807,-5.66986548764157,0.811427372765423,"not signifficant",""
"1405","TPMT",0.355844073727896,9.26098225927553,0.915924405738996,0.384405399436335,0.670589063358332,-5.6636947005879,0.711622706018938,"not signifficant",""
"1406","INPP1",-0.258164886042902,8.8807137709598,-0.909836824097161,0.384969963003574,0.671096286857581,-5.67148758024623,0.781576996667633,"not signifficant",""
"1407","CHORDC1",0.263610386645846,8.61115350499411,0.908673281661881,0.385554070855007,0.671616950192428,-5.67250410271438,0.77783554263723,"not signifficant",""
"1408","L3HYPDH",0.273346645063314,7.954403798695,0.913083442788435,0.385816673141958,0.671616950192428,-5.66619138194036,0.770794543828576,"not signifficant",""
"1409","HSDL2",-0.301062444543684,14.0230686647777,-0.905648423770772,0.387075513412756,0.673330080464631,-5.67514167193335,0.751451170627338,"not signifficant",""
"1410","ECHDC3",-0.333205424944047,9.48425589817609,-0.902755055145411,0.388534791836279,0.675389201979235,-5.67765770988865,0.729786491350701,"not signifficant",""
"1411","FBLN5",0.379511572239403,9.55500875909761,0.902027554063515,0.388902320066171,0.67554896277972,-5.67828927660435,0.698778825084004,"not signifficant",""
"1412","PPM1A",0.228334046593133,9.74810484086823,0.900835483053259,0.389505076428631,0.676116814678877,-5.67932323010501,0.806306580412043,"not signifficant",""
"1413","UBE2G1",-0.23962211332247,9.83737147227861,-0.904583598303762,0.390061320042758,0.676603181475442,-5.67362335270707,0.798043193974574,"not signifficant",""
"1414","MYH6",-0.651768477856288,11.429738969226,-0.908161326010685,0.391347234474017,0.678353657493505,-5.56765979968176,0.542556449410685,"not signifficant",""
"1415","NCSTN",-0.362421848631254,8.00425033555324,-0.907235671742218,0.391806711785339,0.678670141756796,-5.66825237863971,0.712066173706047,"not signifficant",""
"1416","RPL26L1",-0.274483363488434,11.9287330150578,-0.8953401160624,0.392292266872083,0.679031317869686,-5.68407487217949,0.773486318921947,"not signifficant",""
"1417","COG5",-0.396846159590551,9.79570143576796,-0.898509110422082,0.393115251926099,0.679834583820089,-5.67889980707708,0.690377735476497,"not signifficant",""
"1418","PABPC4",-0.183552033028683,11.143872011115,-0.893338249193163,0.393311072973026,0.679834583820089,-5.68579975290612,0.84258359790355,"not signifficant",""
"1419","CRKL",0.241254403411059,12.6784419145958,0.892281855024782,0.393849450786943,0.680085470930187,-5.68670867359797,0.798677848747596,"not signifficant",""
