Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
SMIM20,-0.45365586567766236,10.529493658406825,-1.2185725218325258,0.2495516251279893,0.7020288960709828,-5.127842739409574,0.532743648307453,not signifficant,
XPO7,-0.46539812826105376,7.677987646853768,-1.2165447296975165,0.2502911074065787,0.7032827595438372,-5.129981456827379,0.5248529279960855,not signifficant,
AOC3,-0.5019187996412384,11.475535683077853,-1.2092498252341861,0.2507359821181677,0.7037068478205083,-5.138757375789046,0.499408061262356,not signifficant,
MARS1,-0.3542586241340686,9.237700887506053,-1.207089374593585,0.25153540693711035,0.7043065067153071,-5.141032404700716,0.6132775560325515,not signifficant,
CAMK2A,-0.45960550175825254,12.10212403008833,-1.2070316833828976,0.25155678183514285,0.7043065067153071,-5.141093113473611,0.530309029564889,not signifficant,
ENO2,-0.42720879851668414,10.437740333143655,-1.2050120664257293,0.25230596607141587,0.7043065067153071,-5.1432169871072375,0.55526228302940694,not signifficant,
FLNC,0.41719035406497085,16.949399471811283,1.204068224912917,0.252656691510411,0.7043065067153071,-5.144208630794774,0.5633024173012553,not signifficant,
CMBL,-0.36902801949011454,13.623773746571855,-1.2039417927072267,0.2527037021419907,0.7043065067153071,-5.144341421757077,0.6019313230110238,not signifficant,
ABHD10,0.4123984440517958,7.9368479029947325,1.2094117246014835,0.25290627196187593,0.7043065067153071,-5.137483964053397,0.5672590952039226,not signifficant,
ERI3,0.3668070668254284,12.583888649907312,1.2029178625293813,0.25308467937918055,0.7043065067153071,-5.145416461043762,0.6041067646033601,not signifficant,
GPX4,-0.505059094953646,10.142326465980965,-1.2008673648986083,0.25384897842321813,0.7043065067153071,-5.147567229165486,0.500351723988169,not signifficant,
SERBP1,-0.3557961997241925,12.54808134421494,-1.200697473936702,0.2539123849179297,0.7043065067153071,-5.147745303374489,0.6140288665327706,not signifficant,
MRPL47,-0.33220755482302167,10.580601674033487,-1.2036567196816916,0.25503209435553187,0.7043065067153071,-5.143513513627875,0.6351354037966335,not signifficant,
AHSG,0.4279033424633738,13.08803467523467,1.1975824699251991,0.2550771789540424,0.7043065067153071,-5.151006968073296,0.5573304822361943,not signifficant,
CLU,0.3232735041877124,12.025792397982439,1.1951732924114569,0.2559809282722908,0.7043065067153071,-5.153525170450704,0.6437084352327058,not signifficant,
RWDD4,-0.355330559531458,9.18292116546557,-1.1946730296425094,0.2561689065609103,0.7043065067153071,-5.1540475897956854,0.6163556194937505,not signifficant,
TUBA4A,0.4666208367710514,15.713692031274231,1.1941517564752315,0.2563648953190433,0.7043065067153071,-5.154591773495396,0.5298599384527731,not signifficant,
PGAM1,0.5125702843730391,9.328790708610171,1.1936769462082075,0.25654351763089,0.7043065067153071,-5.155087295302236,0.49791304996098407,not signifficant,
TUBB4B,0.3971093344391292,13.90890397392904,1.1936485287977587,0.2565542112886102,0.7043065067153071,-5.1551169475539105,0.5826121330128782,not signifficant,
