Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
TPPP3,3.7489815749773463,12.826443392522664,6.803314672327626,3.8321968183249014e-5,0.09258587513072962,2.1323191412113705,2.769664724143332e-17,Upregulated (π < 0.05),TPPP3
NDUFA11,-1.9314996842402188,12.020744977802542,-5.599256784406551,2.8226929918458377e-4,0.23055866058486102,0.5777789188330988,1.394626621524327e-7,Downregulated (π < 0.05),NDUFA11
RPS11,-2.9393520091257397,10.5526214886448,-6.621438784177814,4.281448576643321e-4,0.23055866058486102,-0.1368281684244943,1.2562019149644078e-10,Downregulated (π < 0.05),RPS11
ANXA5,1.4168612354390433,15.706763074970276,4.874708974856062,5.725292320953767e-4,0.23055866058486102,-0.010828686873156634,2.5482920250488762e-5,Upregulated (π < 0.05),ANXA5
NDUFB11,-1.4810527938708269,11.362816547705053,-4.822119839974293,8.266421713544151e-4,0.23055866058486102,-0.2974812114518244,2.718845663730987e-5,Downregulated (π < 0.05),
TMEM143,-1.4557476330329138,11.247224394278597,-4.754780937443588,9.110171962314849e-4,0.23055866058486102,-0.37852003472368523,3.748331631448436e-5,Downregulated (π < 0.05),
SERPINA1,1.885653817651555,16.903296874806323,4.529155935586446,9.820337328529313e-4,0.23055866058486102,-0.4649153681617406,2.129078501061917e-6,Upregulated (π < 0.05),
ATP5MF,-1.5049986902905363,11.964288400917113,-4.49948617017602,0.0010294020520433837,0.23055866058486102,-0.5048859268532517,3.1911291584034614e-5,Downregulated (π < 0.05),
ANXA1,1.940576982948592,13.185971706833675,4.495935931042755,0.0010352294542030653,0.23055866058486102,-0.5096789699280881,1.6123108248813633e-6,Upregulated (π < 0.05),ANXA1
CSRP3,1.6949102267614293,14.65137436650154,4.491999944606796,0.001041730713636845,0.23055866058486102,-0.5149953455490834,8.817860934289683e-6,Upregulated (π < 0.05),
GCDH,-1.9842123977699266,7.2977337159189375,-4.7856985008217,0.0011923098741601324,0.23055866058486102,-0.5785041416946743,1.5810117096518099e-6,Downregulated (π < 0.05),
GATM,-2.715611038552348,8.42496102238368,-5.46077940316782,0.001252284651196679,0.23055866058486102,-1.0212572156773518,1.3136824139545532e-8,Downregulated (π < 0.05),
NDUFS3,-2.216973497925048,13.37819375576256,-4.33652765793213,0.0013362507009230145,0.23055866058486102,-0.7271165858524009,4.2478556116000677e-7,Downregulated (π < 0.05),NDUFS3
CFL1,1.4014108528215186,14.8217142949436,4.309098329734396,0.001396731992645217,0.23055866058486102,-0.7649646570117543,9.979998776337653e-5,Upregulated (π < 0.05),
PI16,1.9101768389435918,10.243582479920969,4.44467580416109,0.0014373919541401782,0.23055866058486102,-0.7623861531751475,3.7193410108863006e-6,Upregulated (π < 0.05),
