Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
TPPP3,3.1808015375854346,13.189479788413884,7.720965745811307,6.80872447198786e-6,0.0055024727779862045,4.182599190422408,3.672887487891424e-17,Upregulated (FDR < 0.05),TPPP3
PPIB,1.9156818886003446,12.603289480238232,7.5543493354955755,8.427924023413768e-6,0.0055024727779862045,3.987740889204904,1.902369517411537e-10,Upregulated (FDR < 0.05),PPIB
ATP5PB,-1.9253539175611376,12.687008558662715,-7.353143203961367,1.095245156440569e-5,0.0055024727779862045,3.7471886649955373,2.8138680470556654e-10,Downregulated (FDR < 0.05),
NDUFA12,-2.3898925526947394,11.994197210790942,-7.330061501206473,1.1290162171662984e-5,0.0055024727779862045,3.7192215763383203,1.5013605657189226e-12,Downregulated (FDR < 0.05),NDUFA12
SLC25A12,-2.992714891705532,13.975416066761566,-7.218702901409608,1.3083576843623965e-5,0.0055024727779862045,3.583205812281845,2.4308303205582895e-15,Downregulated (FDR < 0.05),SLC25A12
CKMT2,-2.342623611926303,15.925649992211145,-7.160874366762136,1.4133063642087855e-5,0.0055024727779862045,3.5118576033244455,4.353405066524274e-12,Downregulated (FDR < 0.05),
VDAC1,-2.3914107071633914,14.226626743826323,-6.5959166137709895,3.0709071494317364e-5,0.009091480284605644,2.7885063984787823,1.6151067536168847e-11,Downregulated (FDR < 0.05),VDAC1
AIFM1,-2.0666531941699304,14.884926955715787,-6.454769473890607,3.752155278990176e-5,0.009091480284605644,2.6001736541040135,7.137946438892024e-10,Downregulated (FDR < 0.05),
TIMM8B,-2.027116052409088,11.890522070247394,-6.434273066023148,3.863777936712641e-5,0.009091480284605644,2.5725676745438655,1.1333433659757033e-9,Downregulated (FDR < 0.05),
DPYSL3,1.7257384853649889,11.750420005316572,6.429208523861334,3.891900806766115e-5,0.009091480284605644,2.565736298135297,2.4534230427613566e-8,Upregulated (FDR < 0.05),DPYSL3
DLST,-1.8906433511866751,11.880341182357915,-6.2813909579154545,4.816688047076013e-5,0.009883446987325647,2.3645813978614676,6.880455560692543e-9,Downregulated (FDR < 0.05),
OGN,2.1707801837608507,13.306597877283039,6.245193258609609,5.0771131784207095e-5,0.009883446987325647,2.31479916565357,4.762534613774991e-10,Upregulated (FDR < 0.05),OGN
UQCRC2,-2.334916012545669,14.111306805756126,-6.072668256815302,6.541527466268387e-5,0.01038912325809057,2.0746831767338954,1.698096201907582e-10,Downregulated (FDR < 0.05),
PHB1,-1.957856959537283,12.215774499547319,-6.0219503691929095,7.052977408588559e-5,0.01038912325809057,2.003197889065886,7.442300326230241e-9,Downregulated (FDR < 0.05),
COQ5,-1.6302068043608635,12.382017021089881,-5.947542236553571,7.881638627939946e-5,0.01038912325809057,1.8975817242605775,2.0447316895066095e-7,Downregulated (FDR < 0.05),
VDAC2,-2.2136640168459714,14.529731029351469,-5.942422280871302,7.942338853092537e-5,0.01038912325809057,1.8902819663767154,8.391958591870638e-10,Downregulated (FDR < 0.05),
SDHB,-2.619521542710727,16.43570326895302,-5.874366857487685,8.798062085666253e-5,0.01038912325809057,1.792855493226865,2.378123673285595e-11,Downregulated (FDR < 0.05),
COX6B1,-2.001024981059455,14.485927701019541,-5.86108243738695,8.976233415668164e-5,0.01038912325809057,1.7737517309657225,7.980686900257572e-9,Downregulated (FDR < 0.05),
PHKG1,-2.132446287730488,12.351050288901607,-5.848135579496719,9.153565531579148e-5,0.01038912325809057,1.7551063278812453,2.445165257143876e-9,Downregulated (FDR < 0.05),
ATP5F1C,-1.5299407964403908,12.66028017127954,-5.847870537049942,9.15723439618614e-5,0.01038912325809057,1.754724348106869,6.633435401391023e-7,Downregulated (FDR < 0.05),
NDUFB3,-2.090770497291185,13.151322665010603,-5.831394070281333,9.388402601287126e-5,0.01038912325809057,1.7309564327323503,3.7985124700975465e-9,Downregulated (FDR < 0.05),
COQ3,-1.8337261202075936,13.493464837944138,-5.804153555415225,9.784277041009954e-5,0.01038912325809057,1.691566015383497,4.4435270117550174e-8,Downregulated (FDR < 0.05),
STMN1,1.9201258307678035,12.1074011943286,5.657929908536267,1.2234459019916095e-4,0.01180110395639984,1.4781005605702138,3.073763557685747e-8,Upregulated (FDR < 0.05),
TIMM9,-2.1404803624832827,11.708561710986867,-5.651585884843289,1.235449961401265e-4,0.01180110395639984,1.468762044082852,4.311501109193009e-9,Downregulated (FDR < 0.05),
LUM,2.3123179684249386,15.51516941186354,5.627977247302723,1.2812296005662916e-4,0.01180110395639984,1.4339533786429035,9.99069931435482e-10,Upregulated (FDR < 0.05),
BDH1,-2.0488847441716267,12.33582838099671,-5.582925950192597,1.3736481255425455e-4,0.01180110395639984,1.3672833055142792,1.2216647066056847e-8,Downregulated (FDR < 0.05),
CALML3,3.288403150521388,9.672643966116603,7.077887626094698,1.378757137920737e-4,0.01180110395639984,1.3262433156439393,2.0187355583435957e-13,Upregulated (FDR < 0.05),
SLC25A4,-2.0159768031251133,15.012852254666694,-5.547940887475509,1.450277430399045e-4,0.01180110395639984,1.3152872112418876,1.8263097455042988e-8,Downregulated (FDR < 0.05),
PDLIM7,-2.854100194444083,14.421282313500846,-5.532760246735912,1.484924251539589e-4,0.01180110395639984,1.2926646571415628,1.1848421584154134e-11,Downregulated (FDR < 0.05),
NDUFS8,-1.5810380717030181,13.108946487664562,-5.519649203406179,1.5155527341266918e-4,0.01180110395639984,1.273096807116863,9.148237304529955e-7,Downregulated (FDR < 0.05),
PCCB,-1.525700083091822,10.790362250170768,-5.483439290232312,1.6036659967643048e-4,0.011927562906946881,1.2189128435590257,1.6223404386176107e-6,Downregulated (FDR < 0.05),
DPYSL4,1.7224762763905392,10.429287031368125,5.459728723598609,1.6642876933669877e-4,0.011927562906946881,1.1833200780736775,3.098529021351287e-7,Upregulated (FDR < 0.05),
FHL3,-2.041113745645978,16.621712374337847,-5.451846861821436,1.6849724996971196e-4,0.011927562906946881,1.171468617044626,1.9863086378783557e-8,Downregulated (FDR < 0.05),
