,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
77,P3_fibNumber33,P3,33,4,A10,2,1,10/11/2021
78,P3_fibNumber32,P3,32,2,C1,1,1,10/11/2021
79,P3_fibNumber31,P3,31,6,C10,3,2,10/11/2021
80,P3_fibNumber30,P3,30,10,F2,5,3,10/11/2021
81,P3_fibNumber3,P3,3,3,D9,2,1,10/11/2021
82,P3_fibNumber29,P3,29,4,G2,2,1,10/11/2021
83,P3_fibNumber28,P3,28,10,B11,5,3,10/11/2021
84,P3_fibNumber27,P3,27,1,D3,1,1,10/11/2021
85,P3_fibNumber26,P3,26,2,H1,1,1,10/11/2021
86,P3_fibNumber25,P3,25,10,B3,5,3,10/11/2021
87,P3_fibNumber24,P3,24,10,C6,5,3,10/11/2021
88,P3_fibNumber23,P3,23,4,H1,2,1,10/11/2021
89,P3_fibNumber22,P3,22,1,E4,1,1,10/11/2021
